timestamp,fatigue_label,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,left_shoulder,right_shoulder,left_elbow,right_elbow
36:26.4,0,116.1481521,142.6340397,131.3534381,141.9637933,133.7218207,162.4761179,30.47981268,24.80635646,156.9337864,154.0243997
36:26.5,0,116.3696103,142.9030908,131.3155015,142.4122819,132.4506838,158.8260488,30.74568702,24.43155203,157.7603475,154.225259
36:26.5,0,116.5508116,143.1192825,131.2761774,142.5146781,130.1877724,157.7452414,30.8349559,24.09710175,158.008678,154.249683
36:26.6,0,116.5947306,142.9974353,131.2453368,142.6722909,129.9725146,157.4316704,30.81539723,23.88397674,157.9954612,154.0998183
36:26.6,0,116.7919916,142.9535981,131.2180029,142.7494456,130.2162822,156.8127455,30.81801084,23.60517233,158.0949582,153.7286847
36:26.6,0,116.9035321,143.9691505,131.2073793,143.0693399,130.1266208,156.1166565,30.77199452,23.44488543,157.9993934,153.4372234
36:26.7,0,116.7737801,144.8821738,131.2082991,143.5165407,130.7527066,156.2486322,30.67532688,23.30093867,157.6426123,153.1753743
36:26.7,0,116.6785452,145.2754816,131.1622167,143.8864334,131.9039865,157.3276866,30.51392964,23.20384195,157.1437389,153.1041292
36:26.8,0,116.5313879,145.8707839,131.1240317,144.2246323,133.0356398,156.6152135,30.26054254,23.02294527,156.4026991,152.8646756
36:26.8,0,116.4792542,146.662302,131.1614488,144.6900529,133.2472166,157.1528722,30.03985933,22.96354183,155.5552409,152.7362054
36:26.8,0,116.4595142,147.8923539,130.9754206,145.2845615,134.9727673,158.2971718,29.81293359,22.99452836,154.7963707,152.3965001
36:26.9,0,116.2951905,148.7038515,130.823647,145.7381442,134.1893429,158.9176413,29.64410342,22.93049264,154.4414201,152.4636658
36:26.9,0,116.2715009,149.2126689,130.6736651,145.7928731,134.5549192,159.0279898,29.61748048,22.77853188,154.0262378,152.1771492
36:26.9,0,117.1693661,149.6346754,130.4212296,145.955784,135.3963551,159.2628387,29.66332611,22.7690151,152.8907732,151.8931843
