timestamp,fatigue_label,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,left_shoulder,right_shoulder,left_elbow,right_elbow
00:02.1,0,157.8067041,177.9440701,158.6609207,159.6337878,111.0209652,132.9298531,12.22356816,55.87525706,84.80213782,41.29805879
00:02.1,0,157.7404514,178.4481543,160.6586601,157.3775502,109.8186805,139.8320015,13.76065187,56.62870116,88.03756867,42.96688116
00:02.1,0,156.5758463,176.6385703,161.2982914,155.8700851,108.6942122,140.438016,15.10265522,57.36429187,90.41279233,42.53099629
00:02.2,0,156.127913,175.5316479,161.6203752,155.333218,107.4136763,135.8493456,15.57849888,58.11408623,91.85617652,41.60079024
00:02.2,0,156.5236044,174.3120316,162.957882,154.5678673,106.2186255,134.1619415,15.36031983,58.52008263,93.27838948,41.60624525
00:02.3,0,157.2127757,174.328526,164.0040024,154.5397862,106.6414561,134.8285432,14.50531269,59.12973259,94.10823955,41.8951278
00:02.3,0,157.8258203,175.3740996,165.5944337,154.9467456,107.4754826,134.407791,13.86244082,58.90920797,94.93739816,43.28803836
00:02.3,0,159.0019105,176.6420937,167.2646973,155.4884744,108.9573325,136.9088994,14.07978142,57.82608785,96.89041651,46.30587908
00:02.4,0,159.7971701,176.8358053,168.2498976,155.1073416,107.5291384,135.5846237,15.02910088,58.07935985,98.68046059,46.28948107
00:02.4,0,159.5578124,177.2735565,168.5215755,154.8840422,107.1505065,134.4496365,15.05645777,58.52491799,99.30626343,46.48187322
00:02.4,0,159.9770634,177.5193741,168.8845394,154.9817153,109.2597964,138.1476523,14.8100447,58.94374865,99.29693928,47.58094677
00:02.5,0,160.0202279,177.8627354,168.8016098,154.926297,109.4004534,136.645033,14.46729571,59.4201851,99.60433791,50.07950119
00:02.5,0,159.6831795,178.6275207,169.1061839,154.9230713,108.9878762,133.7389816,13.70283285,60.30161686,99.67971477,51.72285657
00:02.5,0,158.9120931,178.9598564,169.3639578,154.2013231,107.3239444,132.3908165,12.98987376,60.8933119,99.83169195,52.86317367
00:02.6,0,158.6741272,178.8722771,170.2329011,153.3685751,106.7174749,131.6550022,11.49838008,61.50133085,99.49696096,54.31440888
00:02.6,0,158.0903256,178.1051403,170.5468914,152.8711364,106.6156115,131.8455709,10.6837807,61.53757093,99.49486474,55.16632134
00:02.6,0,157.9693509,177.7015705,170.632752,153.1842986,107.4504974,132.987034,10.33832519,61.24643222,99.46760178,56.72750463
00:02.7,0,158.0273512,178.3874058,170.9588553,153.4832264,108.3733849,135.6494916,10.03257139,60.84535096,99.4617051,57.94434395
00:02.7,0,158.5519403,179.4310161,171.674985,153.7298071,108.7745998,135.4976639,9.643405032,60.88442674,99.38909776,58.36728361
00:02.7,0,159.4099631,179.0849295,172.5955487,153.590797,109.0375621,136.8686307,9.091394912,60.91040154,99.71670712,59.11813399
00:02.8,0,160.1825312,179.2676529,173.5713915,153.3630195,111.4746112,140.4888508,8.612955618,60.86018393,100.3105566,61.12810011
00:02.8,0,159.5072148,178.6214216,174.0010256,152.4553984,110.0959981,143.4690042,8.038815512,61.16348955,101.5137224,62.41915773
00:02.9,0,156.4893853,176.1053765,173.3619894,151.2637403,107.8969156,142.9967556,7.948007465,62.07283618,102.2117997,63.89895276
00:02.9,0,156.0079326,176.3360592,173.0403806,151.1230722,107.2682961,141.9444889,7.741855753,62.77262417,102.7415391,65.42402468
00:02.9,0,153.1731961,175.7603441,172.0005539,151.0471187,105.4465185,142.9801791,7.326346219,63.72729428,103.4601079,67.38573394
00:03.0,0,149.8892513,175.7557541,170.917842,151.0071049,100.5371715,142.2800507,6.200477492,64.27137252,103.5655493,68.54366847
00:03.0,0,144.8093141,176.6131737,168.7178687,151.0031014,96.878737,142.7889229,5.520331797,64.81921803,104.5133093,69.36094846
00:03.0,0,143.3424011,176.6817333,168.0213363,151.1025975,94.21563791,142.7455246,4.991354143,64.99500739,104.475348,69.29363878
00:03.1,0,142.9486125,176.2122727,167.4510276,151.0688717,91.38661372,141.0415875,4.830008537,65.09633037,104.840614,69.0600864
00:03.1,0,142.8442548,176.0410211,167.0077986,151.2593227,90.29227862,138.7432632,4.901396698,65.04348119,105.2374439,69.28987575
00:03.1,0,143.4044846,175.1977372,167.0970025,150.9818842,89.07262153,131.33095,4.899542329,65.24719212,105.2037943,68.98381635
00:03.2,0,143.3448957,174.8891337,166.4778359,150.9266726,89.25019419,130.0882992,5.193027636,65.53777167,104.872524,68.54037339
00:03.2,0,143.1389656,175.1350931,166.1566727,151.2571576,89.67041037,129.9820101,5.782398684,65.42350573,104.5632572,67.9106533
00:03.2,0,142.8873833,174.8764233,166.0095943,151.1730311,89.034003,131.1537328,7.410617647,65.48698225,105.1160934,65.33876033
00:03.3,0,142.185989,175.0552536,165.4973537,151.5564252,88.83087205,131.8889034,9.221662991,64.75394167,105.23693,61.92024314
00:03.3,0,142.6889761,176.3066897,165.4475756,152.0888008,89.62309253,126.3822208,10.30578998,64.29506037,104.1627373,55.72504139
00:03.4,0,143.2951113,177.3215107,165.4647939,152.5898101,90.78637719,126.1561983,11.28933779,62.79855696,103.7654453,49.44310971
00:03.4,0,144.0301223,178.1677679,165.2736815,153.1920656,91.73891514,127.8624976,13.18543293,61.57472944,101.5000885,44.57958412
00:03.4,0,145.2023718,178.3902188,165.2444139,153.0818515,93.56571532,129.6453874,14.35900255,59.86140358,98.94692102,39.18130659
00:03.5,0,145.6127367,178.9033508,164.7770842,153.0939448,94.16786479,128.2309293,13.9973549,58.77998624,94.53509905,34.57643047
